city,year,ng_commercial_mt_co2e
Raleigh,2032,164550.40553223444
Raleigh,2033,163660.69494794795
Raleigh,2034,162865.14550809714
Raleigh,2035,162144.75889716463
Raleigh,2036,161452.25241968033
Raleigh,2037,160772.57561954582
Raleigh,2038,160199.86499556218
Raleigh,2039,159717.04264423755
Raleigh,2040,159213.4293904162
Raleigh,2041,158859.33544684685
Raleigh,2042,158530.40122185106
Raleigh,2043,158253.27273397293
Raleigh,2044,158074.13583121714
Raleigh,2045,158002.6946705586
Raleigh,2046,158147.81080560133
Raleigh,2047,158308.83240381032
Raleigh,2048,158455.30507222607
Raleigh,2049,158502.4225098615
Raleigh,2050,158615.8419881898
Rochester,2027,348686.11527213024
Rochester,2028,349085.6645821662
Rochester,2029,349706.9606367028
Rochester,2030,350548.019277302
Rochester,2031,351731.77149469114
Rochester,2032,352950.2450381523
Rochester,2033,354188.52256670315
Rochester,2034,355762.23851706815
Rochester,2035,357630.30537650257
Rochester,2036,359758.70407496014
Rochester,2037,361971.3969186349
Rochester,2038,364501.3823116055
Rochester,2039,367206.607693993
Rochester,2040,369876.2745676626
Rochester,2041,372712.0080797151
Rochester,2042,375650.6005730574
Rochester,2043,378770.88130801613
Rochester,2044,382063.6456363966
Rochester,2045,385309.5427854997
Rochester,2046,388650.112129402
Rochester,2047,392064.05746330146
Rochester,2048,395391.1255136444
Rochester,2049,398461.18029670377
Rochester,2050,401468.8760084806
Savannah,2027,108186.02131502461
Savannah,2028,107540.26442508066
Savannah,2029,106971.16149821764
Savannah,2030,106418.04126581286
Savannah,2031,105968.22350019315
Savannah,2032,105432.21319747853
Savannah,2033,104887.90641460138
Savannah,2034,104386.93017795238
Savannah,2035,103919.42740962302
Savannah,2036,103506.1766535648
Savannah,2037,103095.51657075269
Savannah,2038,102774.53908136039
Savannah,2039,102489.60452831812
Savannah,2040,102199.95249150002
Savannah,2041,101972.20812641433
Savannah,2042,101785.35793996547
Savannah,2043,101622.55479508165
Savannah,2044,101521.30685547215
Savannah,2045,101504.71461906807
Savannah,2046,101608.19806381431
Savannah,2047,101731.09270536252
Savannah,2048,101830.77139986856
Savannah,2049,101870.4758319408
Savannah,2050,101945.56074642067
St. Louis,2027,811010.9302094667
St. Louis,2028,804465.7588088228
St. Louis,2029,798520.2686301849
St. Louis,2030,792835.142996057
St. Louis,2031,787728.8283100914
St. Louis,2032,782038.4084471281
St. Louis,2033,776074.7650207635
St. Louis,2034,770413.2233177855
St. Louis,2035,765218.8383421837
St. Louis,2036,760404.770794778
St. Louis,2037,755638.0190800042
St. Louis,2038,751527.7891939168
St. Louis,2039,747786.8043376318
St. Louis,2040,744071.9104035114
St. Louis,2041,740688.4585642433
St. Louis,2042,737454.3334614064
St. Louis,2043,734166.0998618125
St. Louis,2044,731186.538279961
St. Louis,2045,728394.7782967846
St. Louis,2046,726194.1663823056
St. Louis,2047,723960.017306667
St. Louis,2048,721655.8065509552
St. Louis,2049,718942.637036992
St. Louis,2050,716521.4690616737
