city,year,ng_residential_mmbtu
Raleigh,2030,3831547.49460573
Raleigh,2031,3822890.94013137
Raleigh,2032,3807396.56282589
Raleigh,2033,3796532.90523071
Raleigh,2034,3796100.88111455
Raleigh,2035,3788882.26792213
Raleigh,2036,3780297.11665908
Raleigh,2037,3770062.97700856
Raleigh,2038,3767659.50394981
Raleigh,2039,3759345.28342766
Raleigh,2040,3755794.76777789
Raleigh,2041,3751133.94377964
Raleigh,2042,3749261.23027901
Raleigh,2043,3744926.12326758
Raleigh,2044,3745721.87579185
Raleigh,2045,3745945.87317604
Raleigh,2046,3747266.45460049
Raleigh,2047,3742546.85523671
Raleigh,2048,3736968.65192419
Raleigh,2049,3727943.87939019
Raleigh,2050,3723092.17086038
Rochester,2027,6986389.93260751
Rochester,2028,6957003.50128466
Rochester,2029,6925792.54052604
Rochester,2030,6894951.98921803
Rochester,2031,6865177.95318243
Rochester,2032,6835276.64633266
Rochester,2033,6796574.56557432
Rochester,2034,6748171.36650049
Rochester,2035,6738481.22825064
Rochester,2036,6706996.72493384
Rochester,2037,6667610.17614036
Rochester,2038,6637738.91816763
Rochester,2039,6610788.73624231
Rochester,2040,6586563.88255503
Rochester,2041,6553436.46114093
Rochester,2042,6526654.00586148
Rochester,2043,6501816.69459273
Rochester,2044,6473810.22634209
Rochester,2045,6440873.61129863
Rochester,2046,6420685.7524051
Rochester,2047,6401605.32647735
Rochester,2048,6360284.30827362
Rochester,2049,6336025.40487807
Rochester,2050,6308018.86099389
Savannah,2027,1344757.53834022
Savannah,2028,1339195.33607716
Savannah,2029,1335276.70014163
Savannah,2030,1329889.36276797
Savannah,2031,1326277.0881953
Savannah,2032,1321657.95816425
Savannah,2033,1315816.55245785
Savannah,2034,1312506.21890187
Savannah,2035,1310527.07592759
Savannah,2036,1305979.49711514
Savannah,2037,1299665.33833048
Savannah,2038,1300970.92685123
Savannah,2039,1294992.53332304
Savannah,2040,1292423.5061087
Savannah,2041,1290411.58840964
Savannah,2042,1287249.923726
Savannah,2043,1284290.05889943
Savannah,2044,1283002.81159385
Savannah,2045,1282243.32798673
Savannah,2046,1280319.49805931
Savannah,2047,1278861.94605945
Savannah,2048,1279317.39868823
Savannah,2049,1275752.46748041
Savannah,2050,1272213.79097362
St. Louis,2027,12996935.7934209
St. Louis,2028,12856289.9324676
St. Louis,2029,12720313.5885293
St. Louis,2030,12592052.4706039
St. Louis,2031,12493345.798117
St. Louis,2032,12407118.4909617
St. Louis,2033,12286801.7642411
St. Louis,2034,12179963.0901216
St. Louis,2035,12085918.8628171
St. Louis,2036,11978462.2548463
St. Louis,2037,11867778.9350258
St. Louis,2038,11781867.3768191
St. Louis,2039,11693275.1821337
