city,year,total_emissions_mt_co2e
Pittsburgh,2032,2268360.613015839
Pittsburgh,2033,2207039.0796978273
Pittsburgh,2034,2103481.2050854005
Pittsburgh,2035,1997004.9717894862
Pittsburgh,2036,1883675.3717499664
Pittsburgh,2037,1798648.4136687624
Pittsburgh,2038,1679188.284944716
Pittsburgh,2039,1642628.1893505314
Pittsburgh,2040,1665011.9870278463
Pittsburgh,2041,1686913.3708233293
Pittsburgh,2042,1705950.26688956
Pittsburgh,2043,1731059.679718216
Pittsburgh,2044,1738814.6937198006
Pittsburgh,2045,1722781.096467347
Pittsburgh,2046,1738831.4233906763
Pittsburgh,2047,1629906.4355702708
Pittsburgh,2048,1603635.8249733248
Pittsburgh,2049,1589920.8510662224
Pittsburgh,2050,1589431.2497497075
Raleigh,2027,1734216.6653637192
Raleigh,2028,1649416.3444101815
Raleigh,2029,1573790.1379381015
Raleigh,2030,1524450.8744774265
Raleigh,2031,1362575.1205345057
Raleigh,2032,925437.7657597477
Raleigh,2033,800998.5707645778
Raleigh,2034,752361.5014664037
Raleigh,2035,707207.0796528982
Raleigh,2036,715753.0890730238
Raleigh,2037,616416.8490573495
Raleigh,2038,631952.6347189819
Raleigh,2039,584426.6869944582
Raleigh,2040,539918.6193532944
Raleigh,2041,550768.3131932265
Raleigh,2042,548400.7685761219
Raleigh,2043,538129.1602177282
Raleigh,2044,511455.5706743241
Raleigh,2045,495583.4911827372
Raleigh,2046,483765.3903248252
Raleigh,2047,510040.08303596225
Raleigh,2048,512314.8411094612
Raleigh,2049,489729.5971282356
Raleigh,2050,524925.3725131542
Rochester,2027,868637.8406356655
Rochester,2028,858123.4798127734
Rochester,2029,848673.158970224
Rochester,2030,852273.4042860669
Rochester,2031,832994.8824066098
Rochester,2032,829587.4257919785
Rochester,2033,826549.1979778751
Rochester,2034,821840.82762027
Rochester,2035,824166.1727875553
Rochester,2036,819699.7126713616
Rochester,2037,816960.4148340768
Rochester,2038,818434.9299625752
Rochester,2039,819731.2587738609
Rochester,2040,815947.8797692165
Rochester,2041,815282.795544986
Rochester,2042,813348.3109605212
Rochester,2043,828223.3631809028
Rochester,2044,827053.3829036558
Rochester,2045,828062.1468029444
Rochester,2046,829755.1288891397
Rochester,2047,830642.4556821928
Rochester,2048,830543.209122624
Rochester,2049,830046.8738239831
Rochester,2050,832457.9315657853
Savannah,2027,902009.2649253253
Savannah,2028,861662.9424481918
Savannah,2029,812578.7915700057
Savannah,2030,743478.4842589413
Savannah,2031,702196.1191993671
Savannah,2032,559709.2089416168
Savannah,2033,511423.08734416915
Savannah,2034,498133.44929323834
Savannah,2035,480793.32339801255
Savannah,2036,460497.8492527469
Savannah,2037,437225.29655818606
Savannah,2038,418619.9932544739
Savannah,2039,402158.4924026642
Savannah,2040,393138.3575974284
Savannah,2041,395705.06067073374
Savannah,2042,382927.4578354555
Savannah,2043,362681.2849562764
Savannah,2044,359143.66828558873
Savannah,2045,355656.5805191515
Savannah,2046,349512.60022148583
Savannah,2047,336637.3526592308
Savannah,2048,332834.3293094955
Savannah,2049,335918.53204823856
Savannah,2050,335786.9949706339
St. Louis,2027,4155109.8083703346
St. Louis,2028,4228648.019696864
St. Louis,2029,4112980.2177374354
St. Louis,2030,3981347.6311210785
St. Louis,2031,3858040.4249495696
St. Louis,2032,2617911.9009089908
St. Louis,2033,2461984.392255457
St. Louis,2034,2372978.0133875604
St. Louis,2035,2278701.00699476
St. Louis,2036,2113965.5388300065
St. Louis,2037,1971424.0307744516
St. Louis,2038,1852864.496433667
St. Louis,2039,1632586.224485612
St. Louis,2040,1620704.8956560649
St. Louis,2041,1613377.177010532
St. Louis,2042,1602139.908016555
St. Louis,2043,1591809.0953786094
St. Louis,2044,1580937.8133435813
St. Louis,2045,1572987.6716343833
St. Louis,2046,1564614.4836987206
St. Louis,2047,1558220.5307274633
St. Louis,2048,1556271.9028465739
St. Louis,2049,1553672.5279939387
St. Louis,2050,1535310.7696053083
