city,year,electricity_emissions_mt_co2
Philadelphia,2048,1744082.0356995198
Philadelphia,2049,1638516.616076918
Philadelphia,2050,1608961.8315081694
Pittsburgh,2027,1554360.0933117052
Pittsburgh,2028,1460458.4376434025
Pittsburgh,2029,1476387.148301582
Pittsburgh,2030,1476502.5596110162
Pittsburgh,2031,1421942.5608722563
Pittsburgh,2032,1189296.372215839
Pittsburgh,2033,1125149.9244978274
Pittsburgh,2034,1018767.1354854008
Pittsburgh,2035,909465.9877894864
Pittsburgh,2036,793311.4733499662
Pittsburgh,2037,705459.6008687622
Pittsburgh,2038,583174.5577447161
Pittsburgh,2039,543789.5477505313
Pittsburgh,2040,563348.4310278462
Pittsburgh,2041,582424.9004233293
Pittsburgh,2042,598636.8820895599
Pittsburgh,2043,620921.3805182159
Pittsburgh,2044,625851.4801198007
Pittsburgh,2045,606992.9684673467
Pittsburgh,2046,620218.3809906763
Pittsburgh,2047,508468.4787702707
Pittsburgh,2048,479372.95377332467
Pittsburgh,2049,462833.06546622247
Pittsburgh,2050,459518.5497497076
Raleigh,2027,1360058.3812622505
Raleigh,2028,1277087.5581809916
Raleigh,2029,1203247.2807972452
Raleigh,2030,1155010.0327338474
Raleigh,2031,994353.8812419614
Raleigh,2032,558866.8986039715
Raleigh,2033,435893.83986508835
Raleigh,2034,388075.24320636864
Raleigh,2035,344024.22761978535
Raleigh,2036,353718.27164341265
Raleigh,2037,255604.73187772947
Raleigh,2038,271840.75644384284
Raleigh,2039,225238.783611549
Raleigh,2040,181422.71958458345
Raleigh,2041,192873.8106894319
Raleigh,2042,190934.5664756665
Raleigh,2043,181170.1073831775
Raleigh,2044,154633.4321135914
Raleigh,2045,138820.9084814579
Raleigh,2046,126787.6214381218
Raleigh,2047,153151.7144932921
Raleigh,2048,155575.97936613762
Raleigh,2049,133422.47237793062
Raleigh,2050,168762.25993911258
Rochester,2027,149253.8755393807
Rochester,2028,139899.20945244317
Rochester,2029,131483.6461332095
Rochester,2030,135879.23246085618
Rochester,2031,116996.76871605898
Rochester,2032,113957.40189941524
Rochester,2033,111734.42896179852
Rochester,2034,108020.61639668584
Rochester,2035,108992.05344007372
Rochester,2036,104067.76237141184
Rochester,2037,101205.62196943445
Rochester,2038,101735.12065299528
Rochester,2039,101756.20073485083
Rochester,2040,96588.5255931839
Rochester,2041,94845.44883713324
Rochester,2042,91393.44883645364
Rochester,2043,104466.08805779633
Rochester,2044,101489.36665754786
Rochester,2045,100999.8502019394
Rochester,2046,100423.430737123
Rochester,2047,98909.21959600324
Rochester,2048,97675.39821198132
Rochester,2049,95396.18554444892
Rochester,2050,96285.5747929688
Savannah,2027,722470.4086259686
Savannah,2028,683064.973490857
Savannah,2029,634757.8483622732
Savannah,2030,566496.5134046599
Savannah,2031,525855.6333995314
Savannah,2032,384149.8244839432
Savannah,2033,336717.9546561542
Savannah,2034,324104.9391403527
Savannah,2035,307337.32933967153
Savannah,2036,287696.4004822527
Savannah,2037,265169.5371356181
Savannah,2038,246815.93679438723
Savannah,2039,230956.5840562256
Savannah,2040,222362.4138718007
Savannah,2041,225263.6136633039
Savannah,2042,212840.61894258845
Savannah,2043,192914.299635991
Savannah,2044,189546.23224694692
Savannah,2045,186116.03491710752
Savannah,2046,179970.64959064455
Savannah,2047,167049.84509595387
Savannah,2048,163122.9767352295
Savannah,2049,166356.63029178727
