state,year,annual_mwh_avoided,cumulative_mwh_avoided,annual_mt_co2_avoided,cumulative_mt_co2_avoided
VA,2036,224338.35178881368,2257186.175432416,,
VA,2037,226268.3376908283,2483454.5131232445,,
VA,2038,226917.3210384079,2710371.8341616523,,
VA,2039,227082.18665607885,2937454.020817731,,
VA,2040,226343.1603526634,3163797.1811703946,,
LA,2026,78710.00404156059,78710.00404156059,,
LA,2027,77846.63802078884,156556.64206234942,,
LA,2028,77256.41348395273,233813.05554630214,,
LA,2029,77120.20079943474,310933.2563457369,,
LA,2030,77419.3878523505,388352.6441980874,41631.769958867546,208834.09691906837
LA,2031,77977.8387483522,466330.4829464396,,
LA,2032,79594.85458046284,545925.3375269024,,
LA,2033,81972.66575812064,627898.003285023,,
LA,2034,84221.76826629373,712119.7715513167,,
LA,2035,86732.49027374186,798852.2618250586,,
LA,2036,89376.88151790734,888229.143342966,,
LA,2037,90284.04020751236,978513.1835504783,,
LA,2038,90603.81471374512,1069116.9982642233,,
LA,2039,90600.27298002635,1159717.2712442498,,
LA,2040,90233.82266368858,1249951.0939079383,,
KY,2026,122599.47894678832,122599.47894678832,,
KY,2027,121781.20711685493,244380.68606364325,,
KY,2028,121349.90962316349,365730.5956868067,,
KY,2029,121508.12144617125,487238.71713297797,,
KY,2030,121932.09900855622,609170.8161415341,103403.46621879861,516602.0631199742
KY,2031,122718.29139416947,731889.1075357036,,
KY,2032,124681.70936565506,856570.8169013587,,
KY,2033,127495.12495224368,984065.9418536023,,
KY,2034,129864.48802356365,1113930.429877166,,
KY,2035,132888.65776344395,1246819.0876406098,,
KY,2036,136195.27159509365,1383014.3592357035,,
KY,2037,137331.47140807804,1520345.8306437815,,
KY,2038,137918.1434933693,1658263.9741371507,,
KY,2039,138159.90205723856,1796423.8761943893,,
KY,2040,137776.3096581511,1934200.1858525404,,
TN,2026,47634.3748032574,47634.3748032574,,
TN,2027,46798.6771106165,94433.0519138739,,
TN,2028,45777.95644788314,140211.00836175703,,
TN,2029,45180.246853594166,185391.2552153512,,
TN,2030,45187.76500062624,230579.02021597745,35100.91676881615,179108.9910537517
TN,2031,44536.17761904219,275115.1978350196,,
TN,2032,43630.75112034916,318745.9489553688,,
TN,2033,44085.6279946038,362831.57694997254,,
TN,2034,44389.936732782044,407221.5136827546,,
TN,2035,44536.365423557516,451757.8791063121,,
TN,2036,44649.88831074312,496407.7674170552,,
TN,2037,44435.956949574145,540843.7243666294,,
TN,2038,44149.898634615645,584993.6230012451,,
TN,2039,44099.79681664252,629093.4198178876,,
TN,2040,43850.15070581541,672943.570523703,,
Arkansas,2026,116909.09439990943,116909.09439990943,,
Arkansas,2027,115637.87468177515,232546.9690816846,,
Arkansas,2028,114741.0024755999,347287.9715572845,,
Arkansas,2029,114522.91705954951,461810.88861683395,,
Arkansas,2030,114977.40602720229,576788.2946440362,69031.19083551169,346297.452821659
Arkansas,2031,115746.25255496331,692534.5471989996,,
Arkansas,2032,118011.0717593682,810545.6189583677,,
Arkansas,2033,121489.88424102128,932035.503199389,,
Arkansas,2034,124768.307527077,1056803.810726466,,
Arkansas,2035,128405.80793390203,1185209.618660368,,
Arkansas,2036,132228.24570499867,1317437.8643653668,,
Arkansas,2037,133528.2383647476,1450966.1027301145,,
Arkansas,2038,133978.46188056466,1584944.5646106792,,
Arkansas,2039,133990.56265451486,1718935.127265194,,
Arkansas,2040,133478.50668666896,1852413.6339518628,,
MS,2026,153848.08023479808,153848.08023479808,,
MS,2027,152731.3680251923,306579.4482599904,,
MS,2028,152042.04767239364,458621.49593238404,,
MS,2029,152126.16210194404,610747.6580343281,,
MS,2030,152630.91506482213,763378.5730991503,73213.7812227436,366176.35304928257
MS,2031,153451.36645724962,916829.9395564,,
MS,2032,155625.6403258079,1072455.5798822078,,
MS,2033,159045.36185060622,1231500.941732814,,
MS,2034,161911.66146760664,1393412.6032004207,,
MS,2035,165528.09934599965,1558940.7025464205,,
MS,2036,169474.21073902215,1728414.9132854426,,
MS,2037,170786.24490429764,1899201.1581897403,,
MS,2038,171433.2277791354,2070634.3859688756,,
MS,2039,171711.6047214521,2242345.9906903277,,
MS,2040,171212.77725827327,2413558.767948601,,
