city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Charlotte,2034,1290575.3868787491,2390972.6084706606,1100397.2215919115,85.2640793230388
Charlotte,2035,1250086.09034508,2312055.1186492466,1061969.0283041666,84.95167144936518
Charlotte,2036,1212714.8061151672,2239698.670170048,1026983.8640548806,84.68469741412157
Charlotte,2037,1178157.3424067858,2167852.240180603,989694.8977738174,84.0036268629477
Charlotte,2038,1146626.0536880577,2104387.950630003,957761.8969419454,83.52870527068163
Charlotte,2039,1116665.3132764357,2042514.9621861773,925849.6489097415,82.91200934621877
Charlotte,2040,1090463.9103799688,1985148.853051012,894684.9426710431,82.04626802910818
Charlotte,2041,1057216.6299704844,1935941.3869710674,878724.757000583,83.11681183307866
Charlotte,2042,1035772.663365919,1890398.045190541,854625.381824622,82.51090341073221
Charlotte,2043,1015569.9412189332,1848920.6246341395,833350.6834152063,82.0574388421718
Charlotte,2044,1003134.6174814224,1810593.2014633468,807458.5839819245,80.49354193450294
Charlotte,2045,989780.7733605944,1776863.2111527107,787082.4377921163,79.52088573308428
Charlotte,2046,980367.8679640512,1748300.0410177656,767932.1730537144,78.33102227722884
Charlotte,2047,970492.093678452,1730087.347423668,759595.2537452161,78.2690821175189
Charlotte,2048,968065.7802681644,1713861.0549085143,745795.2746403499,77.03973116721022
Charlotte,2049,972433.9222240328,1697733.608329766,725299.6861057332,74.58601243022413
Charlotte,2050,979497.367861704,1700135.704058829,720638.336197125,73.57225857281452
Chattanooga,2027,1603108.6910768675,600673.7913927295,-1002434.899684138,-62.53068835967481
Chattanooga,2028,1539102.1430715837,574118.1529946703,-964983.9900769134,-62.69785240835909
Chattanooga,2029,1506549.9665316714,552546.4125848683,-954003.5539468031,-63.32372474462815
Chattanooga,2030,1455393.219742279,532310.4243794562,-923082.7953628228,-63.424975658900095
Chattanooga,2031,1408367.275946535,512721.6938462517,-895645.5821002832,-63.59460329680964
Chattanooga,2032,1355844.0604569844,493927.21547194733,-861916.8449850371,-63.57049974423532
Chattanooga,2033,1339843.91634235,476608.82660298556,-863235.0897393643,-64.42803368439485
Chattanooga,2034,1290575.3868787491,459610.0116514808,-830965.3752272683,-64.38720152853328
Chattanooga,2035,1250086.09034508,443714.7920933993,-806371.2982516808,-64.50526123597504
Chattanooga,2036,1212714.8061151672,428661.220236368,-784053.5858787992,-64.6527594060182
