city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Atlanta,Georgia,SRSE,2039,1116665.3132764357,970227.9452279233,1121287.5160445014,-146437.36804851238,-13.113810047421175,4622.202768065734,0.41392910777389624,151059.5708165781,15.569492876345837,847239.2850261517,54855.655268124916,50355.83886937903,17777.16606426772,1008009.5048901517,46246.99980917029,43803.466955287025,23227.544389892657
Atlanta,Georgia,SRSE,2040,1090463.9103799688,944107.0368056336,1094252.307371989,-146356.87357433524,-13.421523828637083,3788.396992020076,0.3474114966996038,150145.27056635532,15.90341610781429,822520.8328386854,55135.70209284979,46711.99253449287,19738.509339605607,980621.0118288295,47213.60529359301,40638.95094901538,25778.739300550988
Atlanta,Georgia,SRSE,2041,1057216.6299704844,921531.1434642745,1060199.7000270486,-135685.48650620994,-12.834217951149524,2983.0700565641746,0.28216261189983893,138668.55656277412,15.047625633300147,799648.3622262633,55490.571134490754,43331.9008993752,23060.309204145226,943712.2569762816,48436.56893229401,37658.131935524776,30392.74218294806
Atlanta,Georgia,SRSE,2042,1035772.663365919,899638.1860140781,1038058.3014541215,-136134.47735184093,-13.14327768696355,2285.638088202453,0.22066986019643386,138420.1154400434,15.386198317495309,778425.3561402094,55915.029021295326,40196.45232077856,25101.348531794803,920150.9933497964,49947.36959107733,34931.39513215762,33028.54338109019
Atlanta,Georgia,SRSE,2043,1015569.9412189332,878880.1997197852,1017217.753737101,-136689.74149914796,-13.45941189782426,1647.8125181677751,0.1622549517554641,138337.55401731574,15.740206010036648,758974.1669346158,56413.82882652615,37287.722764936414,26204.48119370684,898573.3306266302,51788.059738538854,32400.525836875357,34455.83753505663
Atlanta,Georgia,SRSE,2044,1003134.6174814224,862681.8981903559,1004174.0938440128,-140452.71929106652,-14.00138294934953,1039.4763625904452,0.10362281836113546,141492.19565365696,16.401433245610527,741454.9546749182,56996.14615541538,34588.86765013545,29641.92970988694,881128.1528148768,54011.26931545393,29985.051167499536,39049.620546182625
Atlanta,Georgia,SRSE,2045,989780.7733605944,848575.7759881979,990308.8517470815,-141204.99737239652,-14.266290189994738,528.07838648709,0.053353065719200614,141733.0757588836,16.70246544497811,725377.8695939884,57638.815078840606,32085.174280342882,33473.91703502605,861766.2441624297,56641.249506596716,27833.360882932357,44067.997195122756
Atlanta,Georgia,SRSE,2046,980367.8679640512,836558.4690457484,980422.1765093149,-143809.39891830285,-14.668922107469168,54.30854526371695,0.005539608858917475,143863.70746356656,17.197089359177735,711178.739855007,58364.21718694387,29763.158182552554,37252.35382124487,845810.4437663156,59748.16820285409,25801.731877887236,49061.83266225796
Atlanta,Georgia,SRSE,2047,970492.093678452,825082.373449516,970116.1827113336,-145409.72022893594,-14.983091688855508,-375.9109671183396,-0.038734057656618914,145033.8092618176,17.578100554428065,698550.547559798,59166.05840736197,27612.123946812284,39753.64353554384,830444.5414856462,63406.101533624744,23953.063727037388,52312.475965025376
Atlanta,Georgia,SRSE,2048,968065.7802681644,818091.3733762084,967298.9271637528,-149974.406891956,-15.49217108473884,-766.853104411508,-0.07921497898614716,149207.5537875445,18.238494946081012,687809.8747175972,60055.543921956625,25617.942399995907,44608.01233665865,818683.5535917133,67714.57656038813,22222.916048786712,58677.880962864685
